Model,Dataset,Val_Acc,Val_Loss,Val_F1,Test_Acc,Test_Loss,Test_F1,save_dir
KLUBERT,Dataset1,0.8933,0.5866,0.8957,0.883,0.6428,0.8869,./saved_models\KLUBERT_Dataset1
KLUBERT,Dataset2,0.8921,0.5442,0.8942,0.8853,0.5643,0.8873,./saved_models\KLUBERT_Dataset2
KLUBERT,Dataset3,0.8334,0.5859,0.8335,0.8325,0.5878,0.8322,./saved_models\KLUBERT_Dataset3
KLUBERT,Dataset4,0.8432,0.5538,0.846,0.8429,0.5299,0.8457,./saved_models\KLUBERT_Dataset4
KOELECTRA,Dataset1,0.8791,0.7068,0.8831,0.8728,0.7541,0.878,./saved_models\KOELECTRA_Dataset1
KOELECTRA,Dataset2,0.89,0.6496,0.8924,0.8779,0.6923,0.8801,./saved_models\KOELECTRA_Dataset2
KOELECTRA,Dataset3,0.8473,0.6257,0.8473,0.8392,0.6517,0.8396,./saved_models\KOELECTRA_Dataset3
KOELECTRA,Dataset4,0.8406,0.6234,0.8422,0.8414,0.6024,0.8431,./saved_models\KOELECTRA_Dataset4
