Model,Dataset,Val_Acc,Val_Loss,Val_F1,Test_Acc,Test_Loss,Test_F1,save_dir
KLUBERT,Dataset1,0.9003,0.633,0.9016,0.8961,0.6424,0.8976,./saved_models_batch_1_2_lr_1_2\KLUBERT_Dataset1
KLUBERT,Dataset2,0.8993,0.6199,0.901,0.8935,0.6595,0.8958,./saved_models_batch_1_2_lr_1_2\KLUBERT_Dataset2
KLUBERT,Dataset3,0.8277,0.5999,0.8266,0.8339,0.588,0.834,./saved_models_batch_1_2_lr_1_2\KLUBERT_Dataset3
KLUBERT,Dataset4,0.8478,0.5813,0.8483,0.8402,0.5759,0.8412,./saved_models_batch_1_2_lr_1_2\KLUBERT_Dataset4
